"","R_fighter","B_fighter","Winner","date","R_Stance","B_Stance"
"693","Jamahal Hill","Klidson Abreu","Southpaw","5/30/2020","Southpaw","Orthodox"
"695","Louis Smolka","Casey Kenney","Southpaw","5/30/2020","Orthodox","Southpaw"
"697","Alistair Overeem","Walt Harris","Orthodox","5/16/2020","Orthodox","Southpaw"
"701","Song Yadong","Marlon Vera","Orthodox","5/16/2020","Orthodox","Switch"
"704","Giga Chikadze","Irwin Rivera","Orthodox","5/16/2020","Orthodox","Southpaw"
"709","Ben Rothwell","Ovince Saint Preux","Orthodox","5/13/2020","Orthodox","Southpaw"
"710","Alexander Hernandez","Drew Dober","Southpaw","5/13/2020","Orthodox","Southpaw"
"713","Michael Johnson","Thiago Moises","Orthodox","5/13/2020","Southpaw","Orthodox"
"715","Gabriel Benitez","Omar Morales","Orthodox","5/13/2020","Southpaw","Orthodox"
"716","Hunter Azure","Brian Kelleher","Switch","5/13/2020","Orthodox","Switch"
"719","Bryce Mitchell","Charles Rosa","Southpaw","5/9/2020","Southpaw","Switch"
"720","Ryan Spann","Sam Alvey","Orthodox","5/9/2020","Orthodox","Southpaw"
"731","Demian Maia","Gilbert Burns","Orthodox","3/14/2020","Southpaw","Orthodox"
"734","Francisco Trinaldo","John Makdessi","Southpaw","3/14/2020","Southpaw","Orthodox"
"740","Veronica Macedo","Bea Malecki","Orthodox","3/14/2020","Southpaw","Orthodox"
"741","Israel Adesanya","Yoel Romero","Switch","3/7/2020","Switch","Southpaw"
"742","Weili Zhang","Joanna Jedrzejczyk","Switch","3/7/2020","Switch","Orthodox"
"743","Beneil Dariush","Drakkar Klose","Southpaw","3/7/2020","Southpaw","Orthodox"
"746","Sean O'Malley","Jose Quinonez","Switch","3/7/2020","Switch","Orthodox"
"749","Gerald Meerschaert","Deron Winn","Southpaw","3/7/2020","Southpaw","Orthodox"
"751","Danaa Batgerel","Guido Cannetti","Orthodox","3/7/2020","Orthodox","Southpaw"
"752","Joseph Benavidez","Deiveson Figueiredo","Orthodox","2/29/2020","Southpaw","Orthodox"
"754","Ion Cutelaba","Magomed Ankalaev","Orthodox","2/29/2020","Southpaw","Orthodox"
"756","Grant Dawson","Darrick Minner","Switch","2/29/2020","Switch","Orthodox"
"758","Brendan Allen","Tom Breese","Orthodox","2/29/2020","Orthodox","Southpaw"
"761","Jordan Griffin","TJ Brown","Southpaw","2/29/2020","Southpaw","Switch"
"764","Paul Felder","Dan Hooker","Switch","2/22/2020","Orthodox","Switch"
"765","Jim Crute","Michal Oleksiejczuk","Orthodox","2/22/2020","Orthodox","Southpaw"
"767","Ben Sosoli","Marcos Rogerio De Lima","Orthodox","2/22/2020","Southpaw","Orthodox"
"770","Jalin Turner","Joshua Culibao","Southpaw","2/22/2020","Southpaw","Orthodox"
"771","Jake Matthews","Emil Meek","Orthodox","2/22/2020","Orthodox","Switch"
"777","Jussier Formiga","Joseph Benavidez","Southpaw","6/29/2019","Orthodox","Southpaw"
"778","Demian Maia","Rocco Martin","Southpaw","6/29/2019","Southpaw","Orthodox"
"780","Drew Dober","Marco Polo Reyes","Southpaw","6/29/2019","Southpaw","Orthodox"
"783","Eryk Anders","Vinicius Moreira","Southpaw","6/29/2019","Southpaw","Orthodox"
"784","Jared Gordon","Dan Moret","Orthodox","6/29/2019","Orthodox","Southpaw"
"789","Bryan Barberena","Randy Brown","Orthodox","6/22/2019","Southpaw","Orthodox"
"790","Andre Ewell","Anderson Dos Santos","Southpaw","6/22/2019","Southpaw","Orthodox"
"794","Ashley Yoder","Syuri Kondo","Southpaw","6/22/2019","Southpaw","Orthodox"
"795","Matt Wiman","Luis Pena","Southpaw","6/22/2019","Orthodox","Southpaw"
"800","Amanda Nunes","Holly Holm","Orthodox","7/6/2019","Orthodox","Southpaw"
"802","Jan Blachowicz","Luke Rockhold","Orthodox","7/6/2019","Orthodox","Southpaw"
"804","Gilbert Melendez","Arnold Allen","Southpaw","7/6/2019","Orthodox","Southpaw"
"805","Marlon Vera","Nohelin Hernandez","Switch","7/6/2019","Switch","Orthodox"
"809","Ismail Naurdiev","Chance Rencountre","Southpaw","7/6/2019","Orthodox","Southpaw"
"812","Diego Sanchez","Michel Pereira","Southpaw","2/15/2020","Southpaw","Orthodox"
"817","Tim Means","Daniel Rodriguez","Southpaw","2/15/2020","Orthodox","Southpaw"
"819","Jim Miller","Scott Holtzman","Orthodox","2/15/2020","Southpaw","Orthodox"
"821","Casey Kenney","Merab Dvalishvili","Orthodox","2/15/2020","Southpaw","Orthodox"
"827","Karl Roberson","Wellington Turman","Southpaw","7/13/2019","Southpaw","Orthodox"
"830","Julianna Pena","Nicco Montano","Orthodox","7/13/2019","Orthodox","Southpaw"
"832","Liu Pingyuan","Jonathan Martinez","Southpaw","7/13/2019","Orthodox","Southpaw"
"833","Livinha Souza","Brianna Van Buren","Southpaw","7/13/2019","Orthodox","Southpaw"
"834","Benito Lopez","Vince Morales","Switch","7/13/2019","Switch","Orthodox"
"836","Aleksei Oleinik","Walt Harris","Southpaw","7/20/2019","Orthodox","Southpaw"
"838","James Vick","Dan Hooker","Switch","7/20/2019","Orthodox","Switch"
"839","Alexander Hernandez","Francisco Trinaldo","Orthodox","7/20/2019","Orthodox","Southpaw"
"841","Alex Caceres","Steven Peterson","Southpaw","7/20/2019","Southpaw","Orthodox"
"843","Sam Alvey","Klidson Abreu","Orthodox","7/20/2019","Southpaw","Orthodox"
"846","Mario Bautista","Jin Soo Son","Switch","7/20/2019","Switch","Orthodox"
"847","Domingo Pilarte","Felipe Colares","Orthodox","7/20/2019","Southpaw","Orthodox"
"850","Geoff Neal","Niko Price","Southpaw","7/27/2019","Southpaw","Orthodox"
"851","Olivier Aubin-Mercier","Arman Tsarukyan","Orthodox","7/27/2019","Southpaw","Orthodox"
"852","Marc-Andre Barriault","Krzystof Jotko","Southpaw","7/27/2019","Orthodox","Southpaw"
"855","Gavin Tucker","Seungwoo Choi","Southpaw","7/27/2019","Southpaw","Orthodox"
"857","Gillian Robertson","Sarah Frota","Orthodox","7/27/2019","Orthodox","Southpaw"
"858","Erik Koch","Kyle Stewart","Southpaw","7/27/2019","Southpaw","Orthodox"
"859","Colby Covington","Robbie Lawler","Orthodox","8/3/2019","Orthodox","Southpaw"
"860","Jim Miller","Clay Guida","Southpaw","8/3/2019","Southpaw","Orthodox"
"862","Trevin Giles","Gerald Meerschaert","Southpaw","8/3/2019","Orthodox","Southpaw"
"864","Darko Stosic","Kennedy Nzechukwu","Southpaw","8/3/2019","Orthodox","Southpaw"
"865","Mickey Gall","Salim Touahri","Switch","8/3/2019","Switch","Orthodox"
"866","Antonina Shevchenko","Lucie Pudilova","Southpaw","8/3/2019","Southpaw","Orthodox"
"869","Claudio Silva","Cole Williams","Southpaw","8/3/2019","Southpaw","Orthodox"
"871","Jon Jones","Dominick Reyes","Orthodox","2/8/2020","Orthodox","Southpaw"
"872","Valentina Shevchenko","Katlyn Chookagian","Southpaw","2/8/2020","Southpaw","Orthodox"
"873","Juan Adams","Justin Tafa","Southpaw","2/8/2020","Orthodox","Southpaw"
"879","Miles Johns","Mario Bautista","Switch","2/8/2020","Orthodox","Switch"
"880","Domingo Pilarte","Journey Newson","Orthodox","2/8/2020","Southpaw","Orthodox"
"882","Austin Lingo","Youssef Zalel","Switch","2/8/2020","Orthodox","Switch"
"883","Valentina Shevchenko","Liz Carmouche","Southpaw","8/10/2019","Southpaw","Orthodox"
"885","Luiz Garagorri","Humberto Bandenay","Orthodox","8/10/2019","Orthodox","Southpaw"
"887","Rodolfo Vieira","Oskar Piechota","Orthodox","8/10/2019","Orthodox","Southpaw"
"894","Kazula Vargas","Alex Da Silva","Orthodox","8/10/2019","Southpaw","Orthodox"
"895","Veronica Macedo","Polyana Viana","Southpaw","8/10/2019","Southpaw","Orthodox"
"897","Anthony Pettis","Nate Diaz","Southpaw","8/17/2019","Orthodox","Southpaw"
"899","Gabriel Benitez","Sodiq Yusuff","Orthodox","8/17/2019","Southpaw","Orthodox"
"900","Derek Brunson","Ian Heinisch","Southpaw","8/17/2019","Southpaw","Orthodox"
"902","Raphael Assuncao","Cory Sandhagen","Switch","8/17/2019","Orthodox","Switch"
"904","Manny Bermudez","Casey Kenney","Southpaw","8/17/2019","Orthodox","Southpaw"
"908","Jessica Andrade","Zhang Weili","Switch","8/31/2019","Orthodox","Switch"
"914","Su Mudaerji","Andre Soukhamthath","Southpaw","8/31/2019","Southpaw","Orthodox"
"919","Khabib Nurmagomedov","Dustin Poirier","Orthodox","9/7/2019","Orthodox","Southpaw"
"926","Ottman Azaitar","Teemu Packalen","Switch","9/7/2019","Switch","Orthodox"
"927","Belal Muhammad","Takashi Sato","Orthodox","9/7/2019","Orthodox","Southpaw"
"929","Omari Akhmedov","Zak Cummings","Orthodox","9/7/2019","Orthodox","Southpaw"
"930","Don Madge","Fares Ziam","Southpaw","9/7/2019","Southpaw","Orthodox"
"939","Chas Skelly","Jordan Griffin","Orthodox","9/14/2019","Orthodox","Southpaw"
"940","Louis Smolka","Ryan MacDonald","Orthodox","9/14/2019","Orthodox","Switch"
"941","Kyle Prepolec","Austin Hubbard","Orthodox","9/14/2019","Southpaw","Orthodox"
"944","Martin Bravo","Steven Peterson","Orthodox","9/21/2019","Southpaw","Orthodox"
"945","Jose Quinonez","Carlos Huachin","Orthodox","9/21/2019","Orthodox","Southpaw"
"946","Marco Polo Reyes","Kyle Nelson","Switch","9/21/2019","Orthodox","Switch"
"951","Caludio Puelles","Marcos Mariano","Southpaw","9/21/2019","Southpaw","Switch"
"952","Jack Hermansson","Jared Cannonier","Switch","9/28/2019","Orthodox","Switch"
"953","Mark Madsen","Danilo Belluardo","Orthodox","9/28/2019","Orthodox","Southpaw"
"954","Gunnar Nelson","Gilbert Burns","Orthodox","9/28/2019","Switch","Orthodox"
"958","Alen Amedovski","John Phillips","Southpaw","9/28/2019","Orthodox","Southpaw"
"965","Robert Whittaker","Israel Adesanya","Switch","10/5/2019","Orthodox","Switch"
"966","Al Iaquinta","Dan Hooker","Switch","10/5/2019","Orthodox","Switch"
"967","Tai Tuivasa","Serghei Spivac","Orthodox","10/5/2019","Southpaw","Orthodox"
"969","Justin Tafa","Yorgan De Castro","Orthodox","10/5/2019","Southpaw","Orthodox"
"970","Jake Matthews","Rostem Akman","Orthodox","10/5/2019","Orthodox","Switch"
"974","Nadia Kassem","Ji Yeon Kim","Orthodox","10/5/2019","Southpaw","Orthodox"
"980","Jamahal Hill","Darko Stosic","Southpaw","1/25/2020","Southpaw","Orthodox"
"982","Arnold Allen","Nik Lentz","Southpaw","1/25/2020","Southpaw","Orthodox"
"984","Montel Jackson","Felipe Colares","Southpaw","1/25/2020","Southpaw","Orthodox"
"989","Cub Swanson","Kron Gracie","Orthodox","10/12/2019","Orthodox","Southpaw"
"992","Matt Frevola","Luis Pena","Orthodox","10/12/2019","Orthodox","Southpaw"
"997","Deiveson Figueiredo","Tim Elliott","Orthodox","10/12/2019","Orthodox","Southpaw"
"998","Marlon Vera","Andre Ewell","Switch","10/12/2019","Switch","Southpaw"
"1000","Marvin Vettori","Andrew Sanchez","Southpaw","10/12/2019","Southpaw","Orthodox"
"1001","JJ Aldrich","Lauren Mueller","Southpaw","10/12/2019","Southpaw","Orthodox"
"1003","Dominick Reyes","Chris Weidman","Southpaw","10/18/2019","Southpaw","Orthodox"
"1004","Joe Lauzon","Jonathan Pearce","Orthodox","10/18/2019","Orthodox","Switch"
"1005","Maycee Barber","Gillian Robertson","Switch","10/18/2019","Switch","Orthodox"
"1007","Charles Rosa","Manny Bermudez","Switch","10/18/2019","Switch","Orthodox"
"1010","Randy Costa","Boston Salmon","Switch","10/18/2019","Switch","Southpaw"
"1014","Demian Maia","Ben Askren","Southpaw","10/26/2019","Southpaw","Orthodox"
"1016","Frank Camacho","Beneil Dariush","Southpaw","10/26/2019","Orthodox","Southpaw"
"1019","Randa Markos","Ashley Yoder","Orthodox","10/26/2019","Orthodox","Southpaw"
"1020","Alex White","Rafael Fiziev","Switch","10/26/2019","Southpaw","Switch"
"1022","Maurice Greene","Sergei Pavlovich","Southpaw","10/26/2019","Orthodox","Southpaw"
"1025","Conor McGregor","Donald Cerrone","Southpaw","1/18/2020","Southpaw","Orthodox"
"1026","Holly Holm","Raquel Pennington","Southpaw","1/18/2020","Southpaw","Orthodox"
"1029","Roxanne Modafferi","Maycee Barber","Orthodox","1/18/2020","Orthodox","Switch"
"1033","Tim Elliott","Askar Askarov","Orthodox","1/18/2020","Southpaw","Orthodox"
"1034","Brian Kelleher","Ode Obsourne","Switch","1/18/2020","Switch","Southpaw"
"1035","Sabina Mazo","JJ Aldrich","Orthodox","1/18/2020","Orthodox","Southpaw"
"1036","Jorge Masvidal","Nate Diaz","Orthodox","11/2/2019","Orthodox","Southpaw"
"1039","Derrick Lewis","Blagoy Ivanov","Orthodox","11/2/2019","Orthodox","Southpaw"
"1042","Shane Burgos","Makwan Amirkhani","Orthodox","11/2/2019","Orthodox","Southpaw"
"1046","Lyman Good","Chance Rencountre","Orthodox","11/2/2019","Orthodox","Southpaw"
"1047","Julio Arce","Hakeem Dawodu","Orthodox","11/2/2019","Southpaw","Orthodox"
"1050","Zelim Imadaev","Danny Roberts","Southpaw","11/9/2019","Orthodox","Southpaw"
"1052","Ramazan Emeev","Rocco Martin","Orthodox","11/9/2019","Southpaw","Orthodox"
"1058","Alexander Yakovlev","Roosevelt Roberts","Orthodox","11/9/2019","Southpaw","Orthodox"
"1060","Grigorii Popov","Davey Grant","Orthodox","11/9/2019","Switch","Orthodox"
"1063","Antonio Arroyo","Andre Muniz","Southpaw","11/16/2019","Orthodox","Southpaw"
"1067","Francisco Trinaldo","Bobby Green","Southpaw","11/16/2019","Southpaw","Orthodox"
"1074","Dooho Choi","Charles Jourdain","Switch","12/21/2019","Orthodox","Switch"
"1075","Da Un Jung","Mike Rodriguez","Orthodox","12/21/2019","Orthodox","Southpaw"
"1083","Miranda Granger","Amanda Lemos","Southpaw","12/21/2019","Orthodox","Southpaw"
"1085","Kamaru Usman","Colby Covington","Switch","12/14/2019","Switch","Orthodox"
"1089","Peter Yan","Urijah Faber","Switch","12/14/2019","Switch","Orthodox"
"1090","Geoff Neal","Mike Perry","Southpaw","12/14/2019","Southpaw","Orthodox"
"1094","Chase Hooper","Daniel Teymur","Southpaw","12/14/2019","Southpaw","Orthodox"
"1104","Bryce Mitchell","Matt Sayles","Southpaw","12/7/2019","Southpaw","Orthodox"
"1109","Valentina Shevchenko","Jessica Eye","Southpaw","6/8/2019","Southpaw","Orthodox"
"1111","Jimmie Rivera","Petr Yan","Switch","6/8/2019","Orthodox","Switch"
"1113","Tatiana Suarez","Nina Ansaroff","Southpaw","6/8/2019","Southpaw","Orthodox"
"1119","Eddie Wineland","Grigorii Popov","Orthodox","6/8/2019","Orthodox","Switch"
"1123","Makwan Amirkhani","Chris Fishgold","Southpaw","6/1/2019","Southpaw","Orthodox"
"1126","Rostem Akman","Sergey Khandozhko","Orthodox","6/1/2019","Switch","Orthodox"
"1128","Stevie Ray","Leonardo Santos","Orthodox","6/1/2019","Southpaw","Orthodox"
"1129","Nick Hein","Frank Camacho","Orthodox","6/1/2019","Southpaw","Orthodox"
"1132","Joel Alvarez","Danilo Belluardo","Orthodox","6/1/2019","Orthodox","Southpaw"
"1133","Rafael Dos Anjos","Kevin Lee","Southpaw","5/18/2019","Southpaw","Orthodox"
"1140","Desmond Green","Charles Jourdain","Southpaw","5/18/2019","Southpaw","Switch"
"1141","Danny Roberts","Michel Pereira","Orthodox","5/18/2019","Southpaw","Orthodox"
"1142","Michael Trizano","Grant Dawson","Switch","5/18/2019","Orthodox","Switch"
"1144","Zak Cummings","Trevin Giles","Southpaw","5/18/2019","Southpaw","Orthodox"
"1147","Jared Cannonier","Anderson Silva","Switch","5/11/2019","Switch","Southpaw"
"1151","Rogerio Nogueira","Ryan Spann","Orthodox","5/11/2019","Southpaw","Orthodox"
"1156","Raoni Barcelos","Carlos Huachin","Orthodox","5/11/2019","Orthodox","Southpaw"
"1159","Derek Brunson","Elias Theodorou","Southpaw","5/4/2019","Southpaw","Orthodox"
"1162","Walt Harris","Serghei Spivac","Southpaw","5/4/2019","Southpaw","Orthodox"
"1166","Nordine Taleb","Kyle Prepolec","Orthodox","5/4/2019","Orthodox","Southpaw"
"1167","Kyle Nelson","Matt Sayles","Orthodox","5/4/2019","Switch","Orthodox"
"1169","Mitch Gagnon","Cole Smith","Orthodox","5/4/2019","Southpaw","Orthodox"
"1171","Greg Hardy","Dmitrii Smoliakov","Orthodox","4/27/2019","Orthodox","Switch"
"1173","Glover Teixeira","Ion Cutelaba","Orthodox","4/27/2019","Orthodox","Southpaw"
"1174","John Lineker","Cory Sandhagen","Switch","4/27/2019","Orthodox","Switch"
"1176","Ben Saunders","Takashi Sato","Southpaw","4/27/2019","Orthodox","Southpaw"
"1185","Sergei Pavlovich","Marcelo Golm","Southpaw","4/20/2019","Southpaw","Orthodox"
"1186","Roxanne Modafferi","Antonina Shevchenko","Orthodox","4/20/2019","Orthodox","Southpaw"
"1187","Krzysztof Jotko","Alen Amedovski","Southpaw","4/20/2019","Southpaw","Orthodox"
"1189","Sultan Aliev","Keita Nakamura","Orthodox","4/20/2019","Orthodox","Southpaw"
"1190","Alexander Yakovlev","Alex Da Silva","Southpaw","4/20/2019","Southpaw","Orthodox"
"1192","Gadzhimurad Antigulov","Michal Oleksiejczuk","Southpaw","4/20/2019","Orthodox","Southpaw"
"1193","Magomed Mustafaev","Rafael Fiziev","Orthodox","4/20/2019","Orthodox","Switch"
"1194","Max Holloway","Dustin Poirier","Southpaw","4/13/2019","Orthodox","Southpaw"
"1195","Kelvin Gastelum","Israel Adesanya","Switch","4/13/2019","Southpaw","Switch"
"1197","Alan Jouban","Dwight Grant","Switch","4/13/2019","Southpaw","Switch"
"1198","Ovince Saint Preux","Nikita Krylov","Orthodox","4/13/2019","Southpaw","Orthodox"
"1199","Jalin Turner","Matt Frevola","Orthodox","4/13/2019","Southpaw","Orthodox"
"1200","Wilson Reis","Alexandre Pantoja","Orthodox","4/13/2019","Southpaw","Orthodox"
"1202","Boston Salmon","Khalid Taha","Orthodox","4/13/2019","Southpaw","Orthodox"
"1204","Montel Jackson","Andre Soukhamthath","Southpaw","4/13/2019","Southpaw","Orthodox"
"1206","Brandon Davis","Randy Costa","Orthodox","4/13/2019","Orthodox","Switch"
"1209","Josh Emmett","Michael Johnson","Orthodox","3/30/2019","Orthodox","Southpaw"
"1211","Kennedy Nzechukwu","Paul Craig","Orthodox","3/30/2019","Southpaw","Orthodox"
"1214","Ross Pearson","Desmond Green","Southpaw","3/30/2019","Orthodox","Southpaw"
"1215","Enrique Barzola","Kevin Aguilar","Orthodox","3/30/2019","Switch","Orthodox"
"1216","Kevin Holland","Gerald Meerschaert","Orthodox","3/30/2019","Orthodox","Southpaw"
"1217","Ray Borg","Casey Kenney","Southpaw","3/30/2019","Orthodox","Southpaw"
"1221","Curtis Blaydes","Justin Willis","Orthodox","3/23/2019","Orthodox","Southpaw"
"1222","John Makdessi","Jesus Pinedo","Orthodox","3/23/2019","Orthodox","Southpaw"
"1224","Luis Pena","Steven Peterson","Southpaw","3/23/2019","Southpaw","Orthodox"
"1225","Maycee Barber","JJ Aldrich","Switch","3/23/2019","Switch","Southpaw"
"1226","Bryce Mitchell","Bobby Moffett","Southpaw","3/23/2019","Southpaw","Orthodox"
"1227","Marlon Vera","Frankie Saenz","Switch","3/23/2019","Switch","Orthodox"
"1230","Ryan MacDonald","Chris Gutierrez","Orthodox","3/23/2019","Switch","Orthodox"
"1232","Darren Till","Jorge Masvidal","Orthodox","3/16/2019","Southpaw","Orthodox"
"1233","Leon Edwards","Gunnar Nelson","Southpaw","3/16/2019","Southpaw","Switch"
"1234","Volkan Oezdemir","Dominick Reyes","Southpaw","3/16/2019","Orthodox","Southpaw"
"1235","Nathaniel Wood","Jose Quinonez","Orthodox","3/16/2019","Orthodox","Switch"
"1237","Jack Marshman","John Phillips","Orthodox","3/16/2019","Orthodox","Southpaw"
"1238","Arnold Allen","Jordan Rinaldi","Southpaw","3/16/2019","Southpaw","Orthodox"
"1247","Blagoy Ivanov","Ben Rothwell","Southpaw","3/9/2019","Southpaw","Orthodox"
"1252","Grant Dawson","Julian Erosa","Switch","3/9/2019","Switch","Southpaw"
"1258","Tyron Woodley","Kamaru Usman","Switch","3/2/2019","Orthodox","Switch"
"1259","Robbie Lawler","Ben Askren","Orthodox","3/2/2019","Southpaw","Orthodox"
"1260","Tecia Torres","Weili Zhang","Switch","3/2/2019","Orthodox","Switch"
"1265","Diego Sanchez","Mickey Gall","Southpaw","3/2/2019","Southpaw","Switch"
"1267","Gina Mazany","Macy Chiasson","Orthodox","3/2/2019","Southpaw","Orthodox"
"1271","Gian Villante","Michal Oleksiejczuk","Southpaw","2/23/2019","Orthodox","Southpaw"
"1273","John Dodson","Petr Yan","Switch","2/23/2019","Orthodox","Switch"
"1275","Dwight Grant","Carlo Pedersoli","Switch","2/23/2019","Switch","Southpaw"
"1277","Veronica Macedo","Gillian Robertson","Orthodox","2/23/2019","Southpaw","Orthodox"
"1286","Vicente Luque","Bryan Barberena","Orthodox","2/17/2019","Orthodox","Southpaw"
"1289","Benito Lopez","Manny Bermudez","Orthodox","2/17/2019","Switch","Orthodox"
"1292","Renan Barao","Luke Sanders","Southpaw","2/17/2019","Orthodox","Southpaw"
"1294","Israel Adesanya","Anderson Silva","Switch","2/9/2019","Switch","Southpaw"
"1295","Lando Vannata","Marcos Mariano","Orthodox","2/9/2019","Orthodox","Switch"
"1297","Montana De La Rosa","Nadia Kassem","Orthodox","2/9/2019","Orthodox","Southpaw"
"1298","Jimmy Crute","Sam Alvey","Orthodox","2/9/2019","Orthodox","Southpaw"
"1302","Teruto Ishihara","Kyung Ho Kang","Orthodox","2/9/2019","Southpaw","Orthodox"
"1303","Callan Potter","Jalin Turner","Southpaw","2/9/2019","Orthodox","Southpaw"
"1304","Wuliji Buren","Jonathan Martinez","Southpaw","2/9/2019","Orthodox","Southpaw"
"1307","Demian Maia","Lyman Good","Southpaw","2/2/2019","Southpaw","Orthodox"
"1308","Charles Oliveira","David Teymur","Orthodox","2/2/2019","Orthodox","Southpaw"
"1310","Livinha Souza","Sarah Frota","Orthodox","2/2/2019","Orthodox","Southpaw"
"1321","Joseph Benavidez","Dustin Ortiz","Southpaw","1/19/2019","Southpaw","Orthodox"
"1323","Glover Teixeira","Karl Roberson","Orthodox","1/19/2019","Orthodox","Southpaw"
"1329","Belal Muhammad","Geoff Neal","Southpaw","1/19/2019","Orthodox","Southpaw"
"1330","Kyle Stewart","Chance Rencountre","Southpaw","1/19/2019","Orthodox","Southpaw"
"1333","Carlos Condit","Michael Chiesa","Southpaw","12/29/2018","Orthodox","Southpaw"
"1336","Cat Zingano","Megan Anderson","Orthodox","12/29/2018","Southpaw","Orthodox"
"1337","Douglas Silva de Andrade","Petr Yan","Switch","12/29/2018","Orthodox","Switch"
"1338","BJ Penn","Ryan Hall","Southpaw","12/29/2018","Orthodox","Southpaw"
"1339","Nathaniel Wood","Andre Ewell","Orthodox","12/29/2018","Orthodox","Southpaw"
"1342","Brian Kelleher","Montel Jackson","Southpaw","12/29/2018","Switch","Southpaw"
"1344","Edson Barboza","Dan Hooker","Orthodox","12/15/2018","Orthodox","Switch"
"1346","Jim Miller","Charles Oliveira","Orthodox","12/15/2018","Southpaw","Orthodox"
"1347","Zak Ottow","Dwight Grant","Orthodox","12/15/2018","Orthodox","Switch"
"1349","Jared Gordon","Joaquim Silva","Southpaw","12/15/2018","Orthodox","Southpaw"
"1350","Gerald Meerschaert","Jack Hermansson","Orthodox","12/15/2018","Southpaw","Orthodox"
"1351","Trevor Smith","Zak Cummings","Southpaw","12/15/2018","Orthodox","Southpaw"
"1352","Dan Ige","Jordan Griffin","Orthodox","12/15/2018","Orthodox","Southpaw"
"1353","Adam Milstead","Mike Rodriguez","Southpaw","12/15/2018","Orthodox","Southpaw"
"1355","Max Holloway","Brian Ortega","Orthodox","12/8/2018","Orthodox","Switch"
"1356","Valentina Shevchenko","Joanna Jedrzejczyk","Southpaw","12/8/2018","Southpaw","Orthodox"
"1357","Alex Oliveira","Gunnar Nelson","Switch","12/8/2018","Orthodox","Switch"
"1361","Olivier Aubin-Mercier","Gilbert Burns","Orthodox","12/8/2018","Southpaw","Orthodox"
"1363","Elias Theodorou","Eryk Anders","Orthodox","12/8/2018","Orthodox","Southpaw"
"1364","Brad Katona","Matthew Lopez","Orthodox","12/8/2018","Orthodox","Southpaw"
"1366","Diego Ferreira","Kyle Nelson","Orthodox","12/8/2018","Orthodox","Switch"
"1368","Junior Dos Santos","Tai Tuivasa","Orthodox","12/1/2018","Orthodox","Southpaw"
"1370","Mark Hunt","Justin Willis","Southpaw","12/1/2018","Orthodox","Southpaw"
"1374","Yushin Okami","Aleksei Kunchenko","Orthodox","12/1/2018","Southpaw","Orthodox"
"1375","Wilson Reis","Ben Nguyen","Southpaw","12/1/2018","Southpaw","Switch"
"1376","Keita Nakamura","Salim Touahri","Southpaw","12/1/2018","Southpaw","Orthodox"
"1377","Elias Garcia","Kai Kara-France","Orthodox","12/1/2018","Southpaw","Orthodox"
"1379","Alex Gorgees","Damir Ismagulov","Orthodox","12/1/2018","Switch","Orthodox"
"1380","Rafael Dos Anjos","Kamaru Usman","Switch","11/30/2018","Southpaw","Switch"
"1381","Juan Espino","Justin Frazier","Orthodox","11/30/2018","Orthodox","Southpaw"
"1385","Ji Yeon Kim","Antonina Shevchenko","Southpaw","11/30/2018","Orthodox","Southpaw"
"1386","Rick Glenn","Kevin Aguilar","Orthodox","11/30/2018","Southpaw","Orthodox"
"1387","Joseph Benavidez","Alex Perez","Southpaw","11/30/2018","Southpaw","Orthodox"
"1388","Maurice Greene","Michel Batista","Orthodox","11/30/2018","Orthodox","Southpaw"
"1390","Roosevelt Roberts","Darrell Horcher","Orthodox","11/30/2018","Orthodox","Southpaw"
"1391","Tim Means","Ricky Rainey","Orthodox","11/30/2018","Orthodox","Switch"
"1394","Alistair Overeem","Sergei Pavlovich","Orthodox","11/24/2018","Orthodox","Southpaw"
"1400","Weili Zhang","Jessica Aguilar","Switch","11/24/2018","Switch","Orthodox"
"1403","Kevin Holland","John Phillips","Orthodox","11/24/2018","Orthodox","Southpaw"
"1404","Su Mudaerji","Louis Smolka","Orthodox","11/24/2018","Southpaw","Orthodox"
"1407","Khalil Rountree Jr.","Johnny Walker","Orthodox","11/17/2018","Southpaw","Orthodox"
"1408","Cezar Ferreira","Ian Heinisch","Orthodox","11/17/2018","Southpaw","Orthodox"
"1409","Guido Cannetti","Marlon Vera","Switch","11/17/2018","Southpaw","Switch"
"1412","Alexandre Pantoja","Ulka Sasaki","Orthodox","11/17/2018","Orthodox","Southpaw"
"1413","Humberto Bandenay","Austin Arnett","Orthodox","11/17/2018","Southpaw","Orthodox"
"1415","Devin Powell","Jesus Pinedo","Southpaw","11/17/2018","Orthodox","Southpaw"
"1420","Beneil Dariush","Thiago Moises","Southpaw","11/10/2018","Southpaw","Orthodox"
"1421","Maycee Barber","Hannah Cifers","Switch","11/10/2018","Switch","Orthodox"
"1422","Michael Trizano","Luis Pena","Orthodox","11/10/2018","Orthodox","Southpaw"
"1423","Ashley Yoder","Amanda Cooper","Southpaw","11/10/2018","Southpaw","Switch"
"1426","Devonte Smith","Julian Erosa","Orthodox","11/10/2018","Orthodox","Southpaw"
"1427","Joseph Morales","Eric Shelton","Orthodox","11/10/2018","Switch","Orthodox"
"1431","David Branch","Jared Cannonier","Switch","11/3/2018","Orthodox","Switch"
"1432","Karl Roberson","Jack Marshman","Southpaw","11/3/2018","Southpaw","Orthodox"
