"","R_fighter","B_fighter","Winner","date","R_Stance","B_Stance"
"150","Israel Adesanya","Marvin Vettori","Switch","6/12/2021","Switch","Southpaw"
"153","Demian Maia","Belal Muhammad","Orthodox","6/12/2021","Southpaw","Orthodox"
"154","Paul Craig","Jamahal Hill","Orthodox","6/12/2021","Orthodox","Southpaw"
"155","Drew Dober","Brad Riddell","Orthodox","6/12/2021","Southpaw","Orthodox"
"156","Eryk Anders","Darren Stewart","Southpaw","6/12/2021","Southpaw","Orthodox"
"160","Matt Frevola","Terrance McKinney","Switch","6/12/2021","Orthodox","Switch"
"161","Chase Hooper","Steven Peterson","Orthodox","6/12/2021","Southpaw","Orthodox"
"165","Walt Harris","Marcin Tybura","Orthodox","6/5/2021","Southpaw","Orthodox"
"171","Francisco Trinaldo","Muslim Salikhov","Orthodox","6/5/2021","Southpaw","Orthodox"
"172","Makwan Amirkhani","Kamuela Kirk","Switch","6/5/2021","Southpaw","Switch"
"174","Sean Woodson","Youssef Zalal","Orthodox","6/5/2021","Orthodox","Switch"
"178","Justin Tafa","Jared Vanderaa","Orthodox","5/22/2021","Southpaw","Orthodox"
"180","Ricardo Ramos","Bill Algeo","Orthodox","5/22/2021","Orthodox","Switch"
"183","Court McGee","Claudio Silva","Orthodox","5/22/2021","Orthodox","Southpaw"
"184","Bruno Silva","Victor Rodriguez","Orthodox","5/22/2021","Orthodox","Switch"
"186","David Dvorak","Juancamilo Ronderos","Orthodox","5/22/2021","Orthodox",""
"189","Tony Ferguson","Beneil Dariush","Southpaw","5/15/2021","Orthodox","Southpaw"
"193","Jacare Souza","Andre Muniz","Southpaw","5/15/2021","Orthodox","Southpaw"
"196","Andrea Lee","Antonina Shevchenko","Orthodox","5/15/2021","Orthodox","Southpaw"
"197","Gina Mazany","Priscila Cachoeira","Orthodox","5/15/2021","Southpaw","Orthodox"
"202","Neil Magny","Geoff Neal","Orthodox","5/8/2021","Orthodox","Southpaw"
"205","Phil Hawes","Kyle Daukaus","Orthodox","5/8/2021","Orthodox","Southpaw"
"206","Ludovit Klein","Michael Trizano","Orthodox","5/8/2021","Southpaw","Orthodox"
"208","Christian Aguilera","Carlston Harris","Orthodox","5/8/2021","Switch","Orthodox"
"209","Dominick Reyes","Jiri Prochazka","Orthodox","5/1/2021","Southpaw","Orthodox"
"211","Sean Strickland","Krzysztof Jotko","Orthodox","5/1/2021","Orthodox","Southpaw"
"214","Kai Kamaka","TJ Brown","Switch","5/1/2021","Orthodox","Switch"
"217","Andreas Michailidis","KB Bhullar","Orthodox","5/1/2021","Orthodox","Switch"
"218","Luke Sanders","Felipe Colares","Orthodox","5/1/2021","Southpaw","Orthodox"
"219","Kamaru Usman","Jorge Masvidal","Switch","4/24/2021","Switch","Orthodox"
"220","Zhang Weili","Rose Namajunas","Orthodox","4/24/2021","Switch","Orthodox"
"221","Valentina Shevchenko","Jessica Andrade","Southpaw","4/24/2021","Southpaw","Orthodox"
"225","Dwight Grant","Stefan Sekulic","Switch","4/24/2021","Switch","Southpaw"
"226","Karl Roberson","Brendan Allen","Orthodox","4/24/2021","Southpaw","Orthodox"
"229","Kazula Vargas","Rong Zhu","Southpaw","4/24/2021","Southpaw","Orthodox"
"232","Robert Whittaker","Kelvin Gastelum","Orthodox","4/17/2021","Orthodox","Southpaw"
"236","Luis Pena","Alexander Munoz","Southpaw","4/17/2021","Southpaw","Switch"
"237","Alexandr Romanov","Juan Espino","Southpaw","4/17/2021","Southpaw",""
"239","Bartosz Fabinski","Gerald Meerschaert","Southpaw","4/17/2021","Orthodox","Southpaw"
"242","Marvin Vettori","Kevin Holland","Southpaw","4/10/2021","Southpaw","Orthodox"
